76,11,67,34
5,100,43,14
75,71,7,43
14,43,93,5
68,55,24,68
87,89,65,30
14,80,21,3
9,72,4,23
38,70,88,67
3,8,76,53
37,74,74,84
5,73,17,69
49,47,75,48
65,39,67,51
52,1,74,63
6,90,30,22
80,13,76,8
13,97,2,62
75,86,84,45
96,82,59,59
32,92,66,91
71,14,83,41
24,59,46,37
51,84,12,89
74,1,73,84
24,3,12,66
31,34,36,72
32,39,96,78
74,91,42,69
34,50,37,4
13,20,88,79
4,56,96,14
43,11,96,17
12,71,57,79
47,2,73,90
71,91,99,100
90,1,20,78
21,20,76,11
32,47,63,45
81,76,9,16
50,4,75,57
77,5,30,82
2,95,22,32
88,74,60,46
81,44,42,31
48,3,41,87
94,66,16,25
65,79,57,46
7,100,76,56
70,100,20,97
31,36,14,54
2,97,50,39
13,20,71,25
9,99,29,88
41,73,93,6
86,36,32,30
71,22,91,29
53,42,88,94
63,45,50,97
17,67,67,48
72,27,10,4
6,65,78,26
61,16,91,47
57,36,63,54
64,57,81,26
50,45,51,20
94,6,61,51
74,57,68,42
92,22,21,69
73,99,28,65
88,87,53,26
8,63,27,75
55,1,86,17
72,6,31,24
9,43,48,10
13,11,27,43
33,9,16,22
17,43,41,22
31,49,53,69
63,43,71,48
16,90,5,68
100,21,45,95
36,55,11,95
89,32,67,46
82,9,52,52
70,29,99,41
73,38,78,50
65,58,84,45
37,67,3,50
52,10,18,90
76,1,59,32
6,23,41,53
14,92,41,68
83,51,61,74
12,71,38,54
49,12,83,27
85,72,7,64
75,30,90,80
52,31,72,45
82,84,89,4
31,58,25,34
19,19,77,34
13,86,23,4
94,52,53,9
33,28,52,20
99,64,81,86
52,28,7,29
5,28,60,87
82,61,55,2
81,26,18,41
90,65,82,85
100,4,69,48
27,54,73,30
91,52,87,21
39,3,36,1
32,64,54,29
79,9,40,24
59,58,42,79
20,39,79,3
86,72,29,85
79,60,85,20
77,68,67,1
77,54,96,45
28,99,56,65
27,50,68,32
82,68,53,76
52,7,90,46
46,40,99,49
33,11,8,29
12,97,1,15
79,37,37,99
86,83,4,22
89,1,50,47
97,5,49,38
66,83,98,45
28,86,80,11
5,18,68,53
40,39,73,31
9,46,22,14
65,13,26,15
59,51,23,45
21,55,43,92
16,2,92,17
65,23,21,29
69,5,19,47
34,95,45,31
20,74,89,67
98,14,42,96
31,42,38,5
2,98,18,25
91,91,56,80
80,65,3,6
77,92,95,52
98,24,22,12
86,8,60,100
82,7,75,91
70,35,61,79
45,5,65,78
94,1,15,93
18,19,80,30
3,68,76,22
3,18,69,51
15,32,83,100
75,29,19,91
44,43,32,49
71,40,34,94
41,8,36,14
72,43,52,1
59,62,23,96
32,93,78,43
25,87,5,30
51,36,73,7
76,89,26,81
32,1,65,42
68,40,51,52
69,73,96,37
44,35,74,14
69,31,19,77
49,15,80,71
95,33,44,21
71,13,94,93
34,58,72,22
43,29,9,15
26,66,86,30
34,93,54,5
47,4,3,58
54,33,36,37
8,90,43,93
30,93,98,8
45,16,88,30
40,28,67,70
38,58,46,55
29,47,88,4
87,19,61,91
21,9,3,12
62,36,96,72
93,26,16,46
37,27,17,2
81,84,41,8
90,42,26,14
